iter	Passed	Remaining
0	147	443382
1	151	226517
2	153	153438
3	156	117547
4	160	95984
5	163	81563
6	166	71285
7	169	63565
8	173	57568
9	176	52763
10	179	48852
11	183	45594
12	186	42841
13	189	40491
14	193	38446
15	196	36663
16	199	35088
17	203	33703
18	206	32459
19	210	31335
20	213	30311
21	217	29380
22	220	28532
23	223	27760
24	227	27040
25	230	26377
26	234	25772
27	237	25202
28	240	24667
29	244	24165
30	247	23696
31	250	23270
32	254	22871
33	257	22496
34	261	22139
35	264	21808
36	268	21491
37	271	21185
38	275	20900
39	278	20629
40	282	20369
41	285	20130
42	289	19890
43	292	19666
44	296	19439
45	299	19229
46	302	19029
47	306	18841
48	309	18657
49	313	18485
50	316	18318
51	320	18153
52	323	17998
53	326	17810
54	329	17664
55	333	17525
56	336	17397
57	340	17269
58	344	17151
59	347	17031
60	351	16915
61	354	16798
62	358	16690
63	362	16610
64	366	16558
65	370	16478
66	374	16386
67	377	16294
68	381	16209
69	385	16123
70	388	16037
71	392	15953
72	395	15873
73	399	15793
74	403	15718
75	406	15646
76	410	15576
77	413	15506
78	417	15440
79	421	15376
80	424	15310
81	428	15243
82	431	15180
83	435	15119
84	439	15061
85	442	14999
86	446	14939
87	449	14881
88	453	14826
89	456	14770
90	460	14713
91	463	14661
92	467	14611
93	470	14557
94	474	14508
95	477	14458
96	481	14411
97	485	14366
98	488	14324
99	492	14282
100	496	14241
101	499	14204
102	503	14167
103	507	14129
104	511	14095
105	514	14054
106	518	14013
107	521	13974
108	525	13937
109	529	13901
110	532	13864
111	536	13828
112	539	13794
113	543	13759
114	546	13717
115	550	13687
116	554	13654
117	557	13621
118	561	13590
119	564	13557
120	568	13527
121	572	13496
122	575	13467
123	579	13437
124	582	13408
125	586	13378
126	590	13351
127	593	13326
128	597	13301
129	601	13269
130	604	13244
131	608	13219
132	612	13194
133	615	13169
134	619	13137
135	622	13105
136	626	13082
137	629	13060
138	633	13038
139	635	12986
140	639	12963
141	643	12941
142	646	12921
143	650	12897
144	654	12877
145	657	12858
146	661	12840
147	665	12819
148	668	12799
149	672	12778
150	676	12758
151	679	12739
152	683	12719
153	687	12699
154	690	12681
155	694	12662
156	698	12644
157	702	12627
158	705	12607
159	709	12591
160	713	12575
161	716	12560
162	720	12545
163	724	12530
164	727	12499
165	731	12483
166	735	12468
167	738	12453
168	742	12437
169	746	12420
170	749	12403
171	753	12387
172	757	12371
173	760	12357
174	764	12342
175	768	12326
176	771	12311
177	775	12295
178	779	12282
179	783	12268
180	786	12254
181	790	12240
182	794	12225
183	797	12205
184	801	12189
185	804	12172
186	807	12147
187	811	12139
188	815	12124
189	818	12108
190	822	12096
191	826	12082
192	829	12068
193	833	12053
194	837	12041
195	840	12029
196	844	12016
197	848	12010
198	852	11998
199	856	11986
200	859	11972
201	863	11958
202	867	11945
203	870	11934
204	874	11925
205	878	11912
206	881	11899
207	885	11887
208	889	11875
209	893	11865
210	896	11855
211	900	11847
212	904	11835
213	907	11818
214	911	11806
215	913	11777
216	917	11764
217	920	11749
218	924	11739
219	928	11727
220	930	11704
221	934	11695
222	938	11685
223	942	11676
224	946	11667
225	949	11656
226	953	11647
227	957	11638
228	960	11626
229	964	11615
230	968	11604
231	971	11594
232	975	11584
233	979	11573
234	982	11563
235	985	11542
236	989	11532
237	992	11523
238	996	11512
239	1000	11501
240	1003	11490
241	1007	11480
242	1010	11469
243	1014	11460
244	1018	11450
245	1021	11438
246	1025	11428
247	1028	11414
248	1032	11405
249	1035	11393
250	1038	11377
251	1042	11367
252	1046	11357
253	1049	11348
254	1053	11339
255	1057	11329
256	1060	11320
257	1064	11312
258	1067	11299
259	1071	11290
260	1075	11282
261	1078	11274
262	1082	11265
263	1086	11257
264	1089	11248
265	1092	11233
266	1096	11225
267	1100	11215
268	1103	11207
269	1107	11199
270	1111	11190
271	1115	11182
272	1118	11174
273	1121	11153
274	1124	11145
275	1128	11140
276	1132	11132
277	1136	11123
278	1139	11116
279	1143	11107
280	1147	11099
281	1150	11092
282	1154	11086
283	1157	11070
284	1161	11063
285	1172	11128
286	1176	11122
287	1180	11116
288	1184	11109
289	1188	11104
290	1191	11096
291	1195	11088
292	1199	11079
293	1202	11068
294	1206	11060
295	1209	11052
296	1213	11045
297	1217	11037
298	1220	11028
299	1224	11019
300	1227	11010
301	1231	11001
302	1235	10994
303	1238	10985
304	1242	10976
305	1245	10967
306	1249	10959
307	1253	10951
308	1256	10943
309	1260	10936
310	1263	10927
311	1267	10919
312	1270	10910
313	1274	10902
314	1278	10894
315	1281	10886
316	1285	10879
317	1288	10870
318	1292	10862
319	1295	10853
320	1299	10845
321	1303	10837
322	1306	10829
323	1310	10821
324	1313	10813
325	1317	10806
326	1321	10799
327	1324	10792
328	1328	10785
329	1332	10778
330	1335	10771
331	1339	10763
332	1343	10756
333	1346	10750
334	1350	10743
335	1354	10736
336	1357	10729
337	1361	10723
338	1365	10715
339	1368	10708
340	1372	10702
341	1376	10696
342	1379	10689
343	1383	10682
344	1387	10676
345	1391	10672
346	1395	10666
347	1399	10661
348	1402	10655
349	1407	10654
350	1412	10656
351	1416	10653
352	1420	10649
353	1423	10640
354	1427	10634
355	1431	10628
356	1434	10623
357	1438	10617
358	1442	10611
359	1446	10605
360	1449	10599
361	1453	10593
362	1457	10586
363	1460	10579
364	1464	10573
365	1468	10566
366	1471	10560
367	1475	10554
368	1479	10548
369	1483	10543
370	1487	10537
371	1490	10531
372	1494	10525
373	1498	10519
374	1501	10513
375	1505	10507
376	1509	10502
377	1513	10496
378	1517	10491
379	1520	10485
380	1524	10478
381	1528	10472
382	1531	10466
383	1535	10457
384	1538	10451
385	1542	10444
386	1546	10438
387	1549	10433
388	1553	10427
389	1557	10420
390	1560	10414
391	1578	10501
392	1582	10495
393	1585	10488
394	1589	10482
395	1593	10476
396	1596	10470
397	1600	10464
398	1604	10458
399	1607	10451
400	1611	10444
401	1615	10438
402	1618	10431
403	1622	10425
404	1626	10418
405	1629	10412
406	1633	10406
407	1637	10400
408	1640	10394
409	1644	10388
410	1648	10382
411	1656	10406
412	1660	10400
413	1664	10394
414	1667	10389
415	1671	10383
